碇內夜市,暖暖區源遠路,週一、四
暖暖夜市,暖暖區源遠路,週五
基隆廟口夜市,仁愛區愛四路,每日
八斗子夜市,中正區北寧路,週六、日
七堵夜市,七堵區祟智街、南興路一帶,每日
士林夜市,士林區基河路、大東路、大南路,每日
華西街夜市,萬華區華西街,
艋舺夜市,萬華區廣州街、梧州街,
饒河街觀光夜市,松山區饒河街,
公館夜市,大安區羅斯福路四段90巷,店面每日，攤販週三公休
南機場觀光夜市,中正區中華路二段307巷,每日
師大商圈,大安區師大路,
臨江街觀光夜市,大安區臨江街,
寧夏夜市,大同區寧夏路,
大龍街夜市,大同區大龍街,
延三夜市,大同區延平北路三段,
景美夜市,文山區景美街,
雙城街夜市,中山區雙城街,
遼寧街夜市,中山區遼寧街,
石牌夜市,北投區裕民一路、裕民一路40巷、裕民二路,
林口街夜市,信義區林口街,
737夜市,內湖區內湖路一段737巷,
社子夜市,士林區社中街,
大義夜市,士林區華岡路(中國文化大學大義廣場),不定期
樂華夜市,永和區永平路與保平路18巷,每日
湳雅夜市,板橋區南雅東路,
裕民夜市,板橋區裕民街,
三和夜市,三重區中央北路,
中和興南夜市,中和區信義街與景新街410巷,
樹林興仁花園夜市,樹林區保安街二段,週三、五、六、日
樹林夜市,樹林區博愛街,每日
新莊廟街夜市,新莊區新莊路,
西盛夜市,新莊區西盛街,週五
蘆洲廟口夜市,蘆洲區湧蓮寺附近，成功路中山二路口至忠孝路口-得勝街上,每日
淡水英專夜市,淡水區英專路,
淡水沙崙夜市,淡水區沙崙路201巷,週五、日
淡水五號橋夜市,集應廟淡金路三段,週三、日
三芝夜市,三芝區淡金路二段,週四、週六
鶯歌夜市,鶯歌區國光街,
鶯歌龍鳳夜市,鶯歌區鳳三路157號,週二、五、六
林口夜市,林口區中山路近佳林路一帶,週三、日
八里商圈,八里區廖添丁廟前,週六
西雲路夜市,五股區西雲路,週三
御史路夜市,五股區御史路一帶,週六
金山夜市,金山區中山路,週二、六
萬里夜市,萬里區獅頭路,週二
深坑廟前夜市,深坑區北深路一段,週二、五
五股工業區夜市,五股區五工二路50-94巷,週二
汐止觀光夜市,汐止區鐵路高架橋下,每日
汐止弘道街夜市,汐止區弘道街,週二、週五
汐止樟樹夜市,汐止區樟樹二路,週三、六、日
五堵夜市,汐止區長安國小旁,週四
南崁五福夜市,蘆竹區五福一路,週二、五、六
大竹夜市,蘆竹區上竹路、上竹五街、竹中街、上竹六街街區,週一、四
桃園觀光夜市,桃園區北埔路,每日
中壢觀光夜市,中壢區新明路,
中原夜市,中壢區實踐路、日新路一帶,
興仁花園夜市,八德區長興路,週二、五、六、日
楊梅觀光夜市,楊梅區金山街,週五
埔心後站夜市,楊梅區埔心車站後站出口,週六
富岡夜市,楊梅區富岡車站附近,週六
菓林夜市,大園區菓林里,週六
大園夜市,大園區民生南路,週五、日
大溪夜市,大溪區文化路,週四
新屋夜市,新屋區中山路,週日
草漯夜市,觀音區五福街,週二、週四
新坡夜市,觀音區中山路二段,週六
觀音夜市,觀音區中興路,週四
復興夜市,復興區澤仁里,週一
觀音工業區夜市,觀音區民族路,週三
山腳夜市,蘆竹區山腳街,
城隍廟夜市,北區新竹城隍廟周邊與中山路、西安街一帶,每日
清大夜市,東區建功路,每日
新竹代天府夜市,北區新竹代天府前,週五
樹林頭夜市,北區東大路二段與鐵道路交叉路口,週三、五
慈雲路夜市,東區龍山西路,週二、五
後站夜市,新竹火車站後站(一)汽車停車場,週二、四
青草湖夜市,東區明湖路,週三
內湖夜市,香山區中華路六段229巷,週一、四
中正台夜市,東區文昌街,每日
竹北夜市,竹北市新光二街,週二、六、日
竹東沿河街夜市,竹東鎮沿河街,週六
竹東二重埔夜市,竹東鎮中興路三段,週四
湖口夜市,湖口鄉中興街,週四
關西夜市,關西鎮中豐路一段,週二
新庄子夜市,新豐鄉新市路,週五
新豐夜市,新豐鄉新豐車站前站對面,週一
新埔夜市,新埔鎮田新路,週三
北埔夜市,北埔鄉中山路,週五
竹中夜市,竹東鎮竹中車站,週一
國泰夜市,竹南鎮國泰路,週六
中港夜市,竹南鎮中港慈裕宮附近,週三
建國路龍鳳夜市,竹南鎮建國路,週四
頭份建國夜市,頭份市建國路,週二
頭份尚順夜市,頭份市東桃路,週四
苗栗英才觀光夜市,苗栗市英才路,週三、五、六、日
公館夜市,公館鄉警察局後方,週六
後龍夜市,後龍鎮南龍里,週日
苑裡夜市,苑裡鎮大同路,週六
苑裡29夜市,苑裡鎮為公路,每年農曆七月二十九日
大湖夜市,大湖鄉和平路,週四
銅鑼夜市,銅鑼鄉永樂路,週一
三義夜市,三義鄉中正路,週五
卓蘭夜市,卓蘭鎮中正西路,週四
通霄夜市,通霄鎮自強路,週五
逢甲夜市,西屯區逢甲大學附近,每日
一中商圈,北區一中街,
中華路夜市,中區公園路,
忠孝路夜市,南區忠孝路,
東海別墅夜市,龍井區新興路,
霧峰樹仁商圈,霧峰區樹仁路,
豐原廟東夜市,豐原區中正路167巷,
太平臺中小鎮夜市,太平區長億路,
四張犁夜市,北屯區豐樂二街,週日
捷運總站夜市,北屯區捷運舊社站旁,週三、五、六、日
潭子勝利夜市,潭子區雅潭路一段,週一、四、六
潭子頭家夜市,潭子區得天街,週二
大雅(雅潭)夜市,大雅區雅潭路,三、五、六、日
葫蘆墩觀光夜市,豐原區豐東路向陽路,週三、五、六、日
SOGO停車場夜市,豐原區陽明街,週三、五
八方國際觀光夜市,豐原區豐原大道一段,週三、五、六、日
神岡夜市(北莊星期二夜市),神岡區中山路與神岡路,週二
后里夜市,后里區甲后路329巷1弄,週一、五
外埔夜市,外埔區甲后路三段,周日
東勢夜市,東勢區菜市場旁,週六
旱溪夜市,東區旱溪東路一段,週二、四、五、六
太平東平夜市,太平區東平路,週一、三、六
大慶觀光夜市,南區建國南路一段,週三、五、六、日
大里勝利大夜市,大里區德芳南二街,週一、四
大里塗城夜市,大里區塗城路,週三、六
大里文化街夜市,大里區文化街,週日
亞洲大學夜市,霧峰區柳豐二街,週二
霧峰四德路夜市,霧峰區四德路,週四
霧峰德泰街夜市,霧峰區德泰街,週五、日
大肚夜市,大肚區榮華街,週日
大肚山龍井自強夜市,龍井區向上路六段,週六
龍井茄投夜市,龍井茄投奉天宮廟口,週三、六
龍井龍津夜市,龍井區中央路,週一
福順宮夜市,龍井區福順宮廟口,週四
靜宜夜市,沙鹿區靜宜大學附近,週一、三、四
梧棲夜市,梧棲區文化路一段,週二、五
梧棲中港觀光夜市,梧棲區文昌路及文匯街口,週二、四、五、六
清水五權夜市,清水區五權路,週三、五、六、日
沙鹿鹿峰夜市,沙鹿區星耀路,週二、五、六
大甲夜市,大甲區興安路,週四
大甲蔣公路夜市,大甲區蔣公路,每日
彰化中央陸橋夜市,彰化市天祥路,週二、五、日
彰化精誠夜市,彰化市林森路146號,週三、四、五、六、日
彰化冠天夜市,彰化市彰南路一段,週日
和美東發夜市,和美鎮彰新路,週四
和美美寮路夜市,和美鎮美寮路,週六
和美仁愛夜市,和美鎮和健路,週二、四
鹿港鹿和夜市,鹿港鎮大盤大五金百貨對面,週二、四、日
鹿港頂番夜市,鹿港鎮鹿和路三段,週五
鹿港草港夜市,鹿港鎮慶安街,週四
福興夜市,秀水鄉番花路秀中街附近,週一、週三
線西夜市,線西鄉市場,週一
伸港水尾夜市,伸港鄉新港路,週三
伸港福安宮夜市,伸港鄉福安路,週五
秀水夜市,秀水鄉中山路,週三、六
芬園社口夜市,芬園鄉清水路,週一、四
員林龍燈夜市,員林市龍富一街,週二、五、六、日
員林大圓林觀光夜市,員林市育英路,週三
員林林厝夜市,員林市青山國小旁,週五
社頭芭樂市場夜市,社頭鄉芭樂市場,週二
永靖觀光夜市,永靖鄉楓康超市旁,週一
大村夜市,大村鄉慈雲寺旁,週四
花壇夜市,花壇鄉學前路,週日
田中夜市,田中鎮福安路,週一、三
田中鐵支路觀光夜市,田中鎮興工路268-1號旁,週一、五
田中高鐵夜市,田中鎮大社路,週日
二水夜市,二水鄉過圳路,週五
田尾夜市,田尾鄉南鎮國小旁,
田尾海豐崙夜市,田尾鄉農會信用部海豐分部斜對面空地,
埤頭夜市,埤頭鄉土地公廟,週一、週四
埤頭星期四夜市,埤頭鄉文鄉路,
北斗觀光夜市,北斗鎮五權路,
溪州夜市,溪州鄉中山路三段,週一、五
二林王子夜市,二林鎮仁愛路,週二、五
二林金仔角觀光夜市,二林鎮大勇街,週六
埔鹽夜市,埔鹽鄉中華路,週五
埔鹽新水夜市,埔鹽鄉大新路,週六
埔鹽天盛夜市,埔鹽鄉番金路,週三
溪湖夜市,溪湖鎮長青街,週五
溪湖成功夜市,溪湖鎮福德路,週二、六
溪湖大公路夜市,溪湖鎮大公路,週三
芳苑草湖夜市,芳苑鄉二溪路,週一、四、五
芳苑王功夜市,芳苑鄉建成路,週三
竹塘夜市,竹塘鄉光明路,週四
大城夜市,大城鄉大城國小旁,週日
埤頭星期三夜市,埤頭鄉健安街,週三
草鞋墩人文觀光夜市,草屯鎮中正路,週五、六、日
國姓夜市,國姓鄉長興機車行旁,
南投市家樂福（三和）夜市,南投市三和二路,週三
南崗夜市,南投市成功二路,週四
中興新村內轆夜市,南投市內興路,週六
南投祖祠路夜市,南投市祖祠路,週日
中寮夜市,中寮鄉中寮國小旁,週四
松柏嶺夜市,名間鄉松嶺街,週五
名間夜市,名間鄉市場巷,週六
鹿谷夜市,鹿谷鄉鹿彰路,週五
竹山夜市,竹山鎮中正巷,周四
集集夜市,集集鎮育才街,週二、週六
水裡夜市,水里鄉中山路一段,週四
魚池夜市,魚池鄉,週二
埔里八德夜市,埔里鎮仁愛路,永久停業
埔里中華夜市,埔里鎮宏仁國中前,週三
埔里城觀光夜市,埔里鎮信義路,週五、六
斗六觀光夜市,斗六市鎮南路,週二、六、日
斗六成功夜市,斗六市莊敬路,週三、六
斗六石榴班夜市,斗六市石榴路,週四
大崙夜市,斗六市仁義路,每日
虎尾夜市（拜五街夜市）,虎尾鎮光復路,週五
土庫夜市,土庫鎮長榮街,週一
馬光夜市,土庫鎮馬光路,週三
同仁夜市,北港鎮文仁路346巷,週三、六
東南夜市,西螺鎮東南路,週日
吳厝夜市,西螺鎮吳厝活動中心外圍,週四
斗南夜市,斗南鎮外環道,週六
石龜夜市,斗南鎮信義路,週二
林內夜市,林內鄉林內火車站旁,週二
古坑夜市,古坑鄉西平路,週三
大埤夜市,大埤鄉民族路,週二
莿桐夜市,莿桐鄉近莿桐國小,週五
崙背夜市,崙背鄉忠孝街,週二、五
二崙夜市,二崙鄉中山路,週三、週六
麥寮泰安宮夜市,麥寮鄉橋頭路,週一、六
麥寮鎮南宮夜市,麥寮鄉新興路,週四
褒忠夜市,褒忠鄉添財街,週四
下崙夜市,口湖鄉福安路,週三
台西夜市,台西鄉民族路,週六
崙豐夜市,台西鄉崙豐路,週日
東勢夜市,東勢鄉四安路,週五
四湖夜市,四湖鄉關聖路,週一、週六
元長夜市,元長鄉鰲峰宮,週二
文化路夜市,東區文化路,每日
家樂福觀光夜市,西區博愛路二段,週二、三、四、五、六、日
彌陀夜市,東區立仁路,週三、五
湖美夜市,西區湖美八路、湖美七路、健康二路及健康三路街墎內,週三、五、六
新塭夜市,布袋鎮新塭嘉應廟前,週六
布袋夜市,布袋鎮布袋嘉應廟前,週日
大布袋夜市,布袋鎮興中市場前,週五
過溝夜市,布袋鎮過溝建德宮前,週六
東石夜市,東石鄉東石先天宮前,週二
蒜頭夜市,六腳鄉蒜頭永安宮前,週四
義竹夜市,義竹鄉義竹鄉公所前,週日
鹿草夜市,鹿草鄉鹿草圓山宮前,週二、四
朴子夜市,朴子市光復新路,週六
七主宮夜市（彩紅夜市）,太保市七主宮前,週二、四
後潭夜市,太保市嘉朴公路,週五
新埤夜市,太保市新埤國小旁,週三
麻魚寮夜市,太保市麻寮古恩宮前,週六
水牛厝夜市,太保市水牛厝玉賢宮前,週一
新港夜市,新港鄉藝高路,週四
民雄夜市,民雄鄉早安公園旁,週一
頭橋夜市,民雄鄉建國路二段,每日
溪口夜市,溪口鄉民族西路,週四
大林夜市,大林鎮大林自來水廠對面,週一
大埔美夜市,大林鎮大埔美泰寧宮前,週五
竹崎夜市,竹崎鄉竹崎真武廟旁,週三、週六
梅山夜市,梅山鄉梅山衛生所斜對面,週日
水上夜市,水上鄉全家水上柳子林門市旁,週日
中庄夜市,水上鄉嘉白公路,週六
汴頭夜市,中埔鄉阿里山公路,週二、四
同仁夜市,中埔鄉中正路,週六
番路夜市,番路鄉大華公路,週五
花園夜市,北區海安路三段,週四、六、日
大東夜市,東區林森路一段,週一、二、五
武聖夜市,中西區武聖路69巷,週三、五、六
小北觀光夜市,北區西門路四段,每日
小北成功夜市,北區西門路四段171巷,週二、五
仁和夜市,東區仁和路,週一
大益夜市,東區南紡購物中心斜對面,週四～日
灣裡夜市,南區灣裡路,週三、六
新永華夜市,安平區華平路,週四、日
十二佃夜市,安南區公學路四段,週一
本淵寮夜市,安南區本原街三段,週五
中州寮夜市,安南區安昌街174巷79弄,週二、六
土城聖母廟夜市,安南區鹿耳門聖母廟前,週四、六
國宅夜市,安南區安中路一段702巷,週三、六
樺谷夜市,安南區安富街,週日
新同安夜市,安南區同安路,週二、五
永大夜市,永康區永大路二段,週一、四、六、日
南工小夜市,永康區中山南路,每日
鹽行夜市,永康區鹽行路,週一
中興里夜市,永康區中山東路,週一
復華夜市,永康區復華一路,週二、五
聖龍夜市,永康區聖龍街,週三
大灣夜市,永康區大灣廣護宮前,週日
鍾厝夜市,仁德區中清路,週二
德南夜市,仁德區德南路,週三、六
太子廟夜市,仁德區太子路,週五
大潭夜市,歸仁區長榮大學前,週二
歸仁星期三夜市,歸仁區民族北街，歸仁仁壽宮週邊,週三
歸仁星期四夜市,歸仁區和平南街,週四
關廟夜市,關廟區中央路,週一、五
新市夜市,新市區華興街,週日
善化夜市,善化區建國路,週二、五、日
新化夜市,新化區正新路,週二
民生夜市,新化區中正路509巷,週四
隆田夜市,官田區隆田國小旁,週六
六甲夜市,六甲區復興街,週五
下營夜市,下營區中山路二段,週日
中營夜市,下營區中營慶福宮前,週六
麻豆夜市,麻豆區三民路,週一
西港夜市,西港區慶安路33巷,週二、五
安定夜市,安定區安定保安宮前,週三
海寮夜市,安定區海寮普陀寺前,週五
佳里夜市,佳里區平等街，佳里佳池宮旁,週四
安西夜市,佳里區佳西路與光華街,週三、六
仁愛夜市,佳里區祥和五街,週二、五
玉井夜市,玉井區民族路,週三、六
山上夜市,山上區南洲開靈宮前,週一
大內夜市,大內區內莊朝天宮前,週四
漚汪夜市,將軍區郵局前道路,週五
學甲夜市,學甲區天水路,週三
蚵寮夜市,北門區蚵寮保安宮前,週一
北門夜市,北門區北門嶼永隆宮前,週四
三寮灣夜市,北門區三寮灣東隆宮前,週五
新營中華路夜市,新營區中華路,週六
新進夜市,新營區新進路二段,週四、日
鹽水夜市,鹽水區清泉路,週三
長安夜市,後壁區長安路,週二
白河夜市,白河區國泰路,週日
白河中正夜市,白河區中正路,週日
柳營夜市,柳營區成功街,週四
小腳腿夜市,柳營區小腳腿明聖殿前,週一
果毅後夜市,柳營區果毅後堡鎮西宮前,
東山夜市,東山區東山碧軒寺前,週四
龍山夜市,七股區七股龍山宮前,週五
六合觀光夜市,新興區六合二路,每日
南華夜市,新興區南華路,每日
瑞豐夜市,左營區裕誠路,週二、四、五、六、日
前鎮夜市,前鎮區擴建一路45巷,每日
佛公夜市,前鎮區天后街,週三
光華夜市,前鎮區光華二路,每日
德昌夜市,前鎮區德昌街,週二、四
崗山南夜市,前鎮區崗山南街,週日
漢民夜市,小港區大鵬路,週二、三、五、六、日
二苓夜市,小港區二苓路,週五
桂林夜市,小港區桂陽路,週一
鋼平夜市,小港區鋼平街,週六
高松夜市,小港區松興路,週二
苓雅夜市,苓雅區自強三路,每日
忠孝夜市,苓雅區忠孝二路,每日
興中夜市,苓雅區文衡二路,每日
三民街夜市,三民區三民街,每日
吉林夜市,三民區吉林街,每日
喜峰街夜市,三民區喜峰街,每日
駁二夜市,鹽埕區建國四路,週六
內惟夜市,鼓山區九如四路,週三、日
鳳山中山路夜市,鳳山區中山路,每日
中華街夜市,鳳山區中華街,每日
鳳山青年夜市,鳳山區中崙一路,週一、四、五、六、日
五甲夜市,鳳山區自強二路,每日
海洋夜市,鳳山區海洋二路,週四
大明夜市,鳳山區大明路,週二
開漳聖王廟夜市,鳳山區忠義街,週二
南光街夜市,鳳山區南光街,週六
國光路夜市,鳳山區國光路,週一
南江街夜市,鳳山區南江街,週五
中崙夜市,鳳山區中崙路,週六
會社88夜市,大寮區力行路,週四、六、日
翁公園迷你小夜市,大寮區高65鄉道,週三
林園夜市,林園區高雄市林園區溪州二路119-1號,週二、五
鳥松夜市,鳥松區文前路,週二
仁武夜市,仁武區仁和街,週五
後勁夜市,楠梓區加昌路,週五、六
楠都夜市,楠梓區建楠路,週日
土庫夜市,楠梓區土庫五路,週四
大社夜市,大社區中華路,週三、六
旗山夜市,旗山區延平一路,週二、六
美濃夜市,美濃區月光山隧道前,週五
橋頭星期一夜市,橋頭區隆豐路,週一
橋頭星期六夜市,橋頭區樹德路,週六
橋頭菁埔廣場夜市,橋頭區經武路,週五六日
五里林夜市,橋頭區五里林天后宮前,週四
九甲圍夜市,橋頭區九甲圍義山宮前,週五
蚵仔寮夜市,梓官區蚵寮國小旁,週四
燕巢夜市,燕巢區中民路,週六
岡山中山夜市,岡山區平和東街,週一、五、六
岡山後紅夜市,岡山區大仁南路 岡山國中校門口,週四
路竹夜市,路竹區民富街,週三、五、六
湖內大廟夜市,湖內區信義路,週二、五
湖內大湖夜市,湖內區中山路一段,週四、日
永安夜市,永安區永安中街,週二
茄萣週四夜市,茄萣區茄萣市場,週四
阿蓮夜市,阿蓮區忠孝路,週四
大樹夜市,大樹區實踐街,週三
九曲堂週二夜市,大樹區九曲路,週二
九曲堂週六夜市,大樹區新社街,週六
屏東民族路夜市,屏東市民族路,每日
墾丁大街,恆春鎮墾丁路,每日
恆春夜市,恆春鎮福德路,週日
潮州夜市,潮州鎮中洲路,週一、五
愛國夜市,潮州鎮愛國路,週一、五
萬丹夜市,萬丹鄉成功街二段,週二、四、日
社皮夜市,萬丹鄉三清宮旁廣場,週三
新庄夜市,萬丹鄉新鐘路,週五
新園夜市,新園鄉仙隆路,週四
新東夜市,新園鄉新東路,週二
烏龍夜市,新園鄉仁愛路,週日
高樹夜市,高樹鄉南興路,週三、六
東港夜市,東港鎮長春一路,週三、六
繁華夜市,長治鄉黎明街,週一
林邊夜市,林邊鄉中林路,週五
南州夜市,南州鄉人和路,週四
水底寮夜市,枋寮鄉中山路二段,週四
北勢寮夜市,枋寮鄉金龍路,週三
里港夜市,里港鄉中山路,週四、日
石光見夜市,佳冬鄉中正路,週六
鹽埔夜市,鹽埔鄉豐年路,週三
新圍夜市,鹽埔鄉新圍村慈天宮旁,週五
長治夜市,長治鄉長興國小旁,週二
九如夜市,九如鄉東寧廟口,週一、五
西勢夜市,竹田鄉西勢村忠義祠前,週六
水門夜市,內埔鄉忠孝路二段,週六
龍泉夜市,內埔鄉中勝路,週日
老埤夜市,內埔鄉老埤五穀宮旁,週二
楓港夜市,枋山鄉7-11楓港門市旁,週五
佳佐夜市,萬巒鄉佳興路,週三
餉潭夜市,新埤鄉龍潭路,週二
七佳夜市,春日鄉自強一路,週一
望嘉夜市,來義鄉屏東縣來義鄉望嘉派出所前,週五
羅東夜市,羅東鎮興東路,每日
東門觀光夜市,宜蘭市聖後街,每日
員山夜市,員山鄉文化路,週四
冬山夜市,冬山鄉冬山火車站前,週六
清溝夜市,冬山鄉清溝路,週三
南方澳夜市,蘇澳鎮水道巷,週一
頭城夜市,頭城鎮開蘭東路,週五
南澳夜市,南澳鄉大通路,週二
三星夜市,三星鄉月眉街,週五
蘇澳夜市,蘇澳鎮志成路,週日
花蓮東大門國際觀光夜市,花蓮市中山路、重慶路、明義街及南濱路區間之重劃地,每日
崇德夜市,秀林鄉崇德村,週一
太魯閣夜市,秀林鄉太魯閣,週三
新城夜市,新城鄉新興一路,週五
北埔廟口夜市,新城鄉北埔路,每日
北埔夜市,新城鄉北埔路,週一
美崙夜市,花蓮市鄰近花蓮地方法院簡易庭,週六
太昌夜市,吉安鄉建國路二段,週四
南埔夜市,吉安鄉中正路二段,週二
志學夜市,壽豐鄉志學村志安宮前,週四
壽豐夜市,壽豐鄉中山路五段,週三
林榮夜市,鳳林鎮永康路,週五
鳳林夜市,鳳林鎮大同街,週六
光復夜市,光復鄉光復商工旁,週日
富源夜市,瑞穗鄉富源保安宮前,週四
瑞穗夜市,瑞穗鄉民權東路,週二
玉里夜市,玉里鎮忠智路,週五
富里夜市,富里鄉和平街,週一
臺東觀光夜市,臺東市正氣路,週四、五、六
知本夜市,臺東市富裕路,週五
四維夜市,臺東市四維路一段464巷,週日
太平夜市,卑南鄉和平路,週六
太麻里觀光夜市,太麻里鄉太峰路,週二
金崙夜市,太麻里鄉金崙村,週六
大武夜市,大武鄉民權街,週三
池上夜市,池上鄉中正路,週三
關山夜市,關山鎮和平路,週四
長濱夜市,長濱鄉長濱路,週二
桃源夜市,延平鄉衛生所前,週日
新港夜市,成功鎮中山東路,週一
東清夜市,蘭嶼鄉東清灣海邊,觀光季節每日
西文祖師廟夜市,馬公市新生路,每日
北甲宮夜市,馬公市中正路,每日
馬公夜市,馬公市漁隆路,每日
金門體育館夜市,金城鎮民族路,不定時
金門救國團夜市,金城鎮環島北路一段,不定時
南竿馬港觀光夜市,南竿鄉馬港天后宮前,週六
